Instance 320: p_3=-62.41212, p_4=-64.97832
Instance 321: p_3=-62.41212, p_4=-64.97832
Instance 322: p_3=-62.41212, p_4=-64.97832
Instance 323: p_3=-62.41212, p_4=-64.97832
Instance 324: p_3=-62.41212, p_4=-64.97832
Instance 325: p_3=-62.41212, p_4=-64.97832
Instance 326: p_3=-62.41212, p_4=-64.97832
Instance 327: p_3=-62.41212, p_4=-64.97832
Instance 328: p_3=-62.41212, p_4=-64.97832
Instance 329: p_3=-62.41212, p_4=-64.97832
Instance 330: p_3=-62.41212, p_4=-64.97832
Instance 331: p_3=-62.41212, p_4=-64.97832
Instance 332: p_3=-62.41212, p_4=-64.97832
Instance 333: p_3=-62.41212, p_4=-64.97832
Instance 334: p_3=-62.41212, p_4=-64.97832
Instance 335: p_3=-62.41212, p_4=-64.97832
Instance 336: p_3=-62.41212, p_4=-64.97832
Instance 337: p_3=-62.41212, p_4=-64.97832
Instance 338: p_3=-62.41212, p_4=-64.97832
Instance 339: p_3=-62.41212, p_4=-64.97832
Instance 340: p_3=-62.41212, p_4=-64.97832
Instance 341: p_3=-62.41212, p_4=-64.97832
Instance 342: p_3=-62.41212, p_4=-64.97832
Instance 343: p_3=-62.41212, p_4=-64.97832
Instance 344: p_3=-62.41212, p_4=-64.97832
Instance 345: p_3=-62.41212, p_4=-64.97832
Instance 346: p_3=-62.41212, p_4=-64.97832
Instance 347: p_3=-62.41212, p_4=-64.97832
Instance 348: p_3=-62.41212, p_4=-64.97832
Instance 349: p_3=-62.41212, p_4=-64.97832
Instance 350: p_3=-62.41212, p_4=-64.97832
Instance 351: p_3=-62.41212, p_4=-64.97832
Instance 352: p_3=-62.41212, p_4=-64.97832
Instance 353: p_3=-62.41212, p_4=-64.97832
Instance 354: p_3=-62.41212, p_4=-64.97832
Instance 355: p_3=-62.41212, p_4=-64.97832
Instance 356: p_3=-62.41212, p_4=-64.97832
Instance 357: p_3=-62.41212, p_4=-64.97832
Instance 358: p_3=-62.41212, p_4=-64.97832
Instance 359: p_3=-62.41212, p_4=-64.97832
Instance 360: p_3=-62.41212, p_4=-64.97832
Instance 361: p_3=-62.41212, p_4=-64.97832
Instance 362: p_3=-62.41212, p_4=-64.97832
Instance 363: p_3=-62.41212, p_4=-64.97832
Instance 364: p_3=-62.41212, p_4=-64.97832
Instance 365: p_3=-62.41212, p_4=-64.97832
Instance 366: p_3=-62.41212, p_4=-64.97832
Instance 367: p_3=-62.41212, p_4=-64.97832
Instance 368: p_3=-62.41212, p_4=-64.97832
